File_ID	Size_fastQ	Time_comp_leon_lossy	Size_comp_leon_lossy	Time_comp_leon_lossless	Size_comp_leon_lossless	Time_comp_gzip1	Size_comp_gzip1	Time_comp_gzip6	Size_comp_gzip6	Time_comp_gzip9	Size_comp_gzip9	Time_uncomp_leon_lossy	Time_uncomp_leon_lossless	Time_uncomp_gzip1	Time_uncomp_gzip6	Time_uncomp_gzip9
File_1	105559595	7	8655554	12	23926596	1	33891266	5	24755409	14	24003524	3	3	2	1	1
File_2	105559595	8	12253715	10	26788069	1	35739296	6	26458741	12	25787000	3	4	1	1	1
File_3	523256294	30	35170731	56	108769489	7	193281186	31	124294367	87	118461681	16	20	10	10	9
File_4	523256294	29	51409585	53	124539054	8	196444663	32	129306901	84	123169514	18	22	10	8	9
File_5	403121026	23	23921041	44	79945430	5	149170172	26	97277447	72	92464559	12	14	9	7	6
File_6	403121026	23	35361500	41	91566048	6	152174707	26	101687651	68	96644630	13	24	7	7	8
File_7	643571722	36	43765276	68	133369271	9	238018837	43	157156594	120	149516094	19	24	14	12	11
File_8	643571722	36	59538279	64	149473094	9	241902893	43	162977161	115	154954427	20	25	12	12	11
File_9	668061478	36	44172150	72	137194534	9	246887766	43	162223799	122	154271230	20	25	12	12	12
File_10	668061478	37	63292022	67	157517855	9	252444246	45	170148792	115	161891108	21	26	14	14	12
File_11	374320728	21	28329692	39	81216129	4	135416903	21	87171220	58	83667836	10	13	7	8	6
File_12	374320728	21	39017792	36	91538301	5	139117058	21	92178733	53	88669436	12	15	7	7	7
File_13	579176690	30	36064772	62	116675320	8	213684046	37	140054054	106	133184879	17	20	12	10	10
File_14	579176690	31	53869052	56	135840017	8	219017767	38	147353397	99	140209742	18	22	12	10	10
File_15	14240703190	1414	1122640742	1818	3154477988	368	5746991057	1553	5006483650	3328	4916660124	536	623	352	332	305
File_16	14240703190	1459	1294624777	1798	3335277482	302	5895092312	1545	5169766520	3218	5081781476	546	665	369	310	324
File_17	23850101727	2309	1727372875	3259	5051020231	678	9507434937	2602	8254839799	5696	8101507984	885	1109	646	529	563
File_18	23850101727	2291	1993788610	3167	5364695002	486	9795905512	2585	8570908777	5447	8421747089	896	1065	606	535	610
File_19	28392497318	2708	2041648145	3709	6009345246	617	11325510709	3087	9832251738	6793	9649576812	1015	1289	751	701	711
File_20	28392497318	2883	2308626293	3715	6322364217	643	11604670693	3095	10138159139	6562	9959699202	1049	1356	746	683	702
File_21	19695495057	1850	1207258172	2533	2471898546	359	5865746716	1896	4977905286	6577	4816706327	748	812	442	419	458
File_22	19695495057	1826	1210377522	2357	2390309618	344	5765817348	1870	4879386867	6156	4722628496	744	815	445	436	405
